Country,Capital,Capital_Latitude,Capital_Longitude,Timezone,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
Bahrain,Manama,26.23333333,50.566667,Asia/Bahrain,1563695855,Clear,clear-day,0,0,96.13,104.01,71.06,0.45,1000.14,14.04,15.15,314,0,12,6.216,284.3
,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Dhaka,23.71666667,90.4,Asia/Dhaka,1563695858,Humid and Foggy,fog,0,0.022,0.12,rain,95.17,115.99,80.42,0.63,1002.47,8.12,13.09,241,0.48,7
,,,,,,,,,,,,,,,,,,,,,
Barbados,Bridgetown,13.1,-59.616667,America/Barbados,1563695862,Humid and Mostly Cloudy,partly-cloudy-night,0,0.002,0.05,rain,79.67,83.68,73.4,0.81,1012.99,16.74,18.95,103,0.73,0
,,,,,,,,,,,,,,,,,,,,,
Belarus,Minsk,53.9,27.566667,Europe/Minsk,1563695864,Clear,clear-day,0,0.003,0.02,rain,77.71,77.71,56.03,0.47,1018.06,1.15,4.87,223,0,5
,,,,,,,,,,,,,,,,,,,,,
Belgium,Brussels,50.83333333,4.333333,Europe/Brussels,1563695876,Partly Cloudy,partly-cloudy-day,0,0,67.69,67.69,57.35,0.69,1020.41,7.7,13.63,256,0.44,2,6.216,340.8
,,,,,,,,,,,,,,,,,,,,,
Belize,Belmopan,17.25,-88.766667,America/Belize,1563695879,Humid and Mostly Cloudy,partly-cloudy-night,0,0.006,0.12,rain,76.32,78.11,74.71,0.95,1012.17,2.48,8.77,77,0.78,0
,,,,,,,,,,,,,,,,,,,,,
Benin,Porto-Novo,6.483333333,2.616667,Africa/Porto-Novo,1563695882,Humid and Mostly Cloudy,partly-cloudy-day,0,0,0,78.25,81.12,75.45,0.91,1014.56,6.59,15.13,227,0.53,2,4.346
,,,,,,,,,,,,,,,,,,,,,
Bermuda,Hamilton,32.28333333,-64.783333,Atlantic/Bermuda,1563695883,Humid and Mostly Cloudy,partly-cloudy-night,0,0,0,81.84,88.43,75.12,0.8,1018.78,11.14,14.77,324,0.85,0,6.289
,,,,,,,,,,,,,,,,,,,,,
Bhutan,Thimphu,27.46666667,89.633333,Asia/Thimphu,1563695886,Mostly Cloudy,partly-cloudy-day,0,0.031,0.12,rain,74.45,74.94,64.48,0.71,1003.16,5.55,6.2,8,0.86,6
,,,,,,,,,,,,,,,,,,,,,
Bolivia,La Paz,-16.5,-68.15,America/La_Paz,1563695888,Mostly Cloudy,partly-cloudy-night,0,0.001,0.06,rain,35.61,32.75,30.65,0.82,1016.99,3.54,5.16,329,0.7,0
,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Sarajevo,43.86666667,18.416667,Europe/Sarajevo,1563695889,Partly Cloudy,partly-cloudy-day,0,0,73.71,73.71,57.71,0.57,1020.49,1.26,2.14,24,0.17,5,6.216,314.6
,,,,,,,,,,,,,,,,,,,,,
Botswana,Gaborone,-24.63333333,25.9,Africa/Gaborone,1563695891,Clear,clear-day,0,0,61.33,61.33,22.29,0.22,1028.14,7.47,12.92,114,0,3,6.216,266.8
,,,,,,,,,,,,,,,,,,,,,
Brazil,Brasilia,-15.78333333,-47.916667,America/Sao_Paulo,1563695893,Mostly Cloudy,partly-cloudy-night,0,0,57.82,57.82,49.07,0.73,1018.91,10.58,28.62,89,0.68,0,6.216,247.7
,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,Road Town,18.41666667,-64.616667,America/Tortola,1563695898,Humid and Partly Cloudy,partly-cloudy-night,18,252,0,0,80.54,85.12,73.16,0.78,1015.58,14.85,14.85,100,0.15,0
,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Bandar Seri Begawan,4.883333333,114.933333,Asia/Brunei,1563695900,Humid and Mostly Cloudy,partly-cloudy-day,0,0.01,0.14,rain,88.2,101.74,77.9,0.72,1005.99,6.43,10.28,300,0.74,3
,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Sofia,42.68333333,23.316667,Europe/Sofia,1563695902,Clear,clear-day,0,0,74.27,74.27,55.7,0.52,1020.4,1.21,2.54,45,0,6,6.216,318.3
,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Ouagadougou,12.36666667,-1.516667,Africa/Ouagadougou,1563695907,Humid,clear-day,0,0.004,0.06,rain,74.97,76.73,74.06,0.97,1013.37,2.66,9.37,151,0.04,2
,,,,,,,,,,,,,,,,,,,,,
Myanmar,Rangoon,16.8,96.15,Asia/Yangon,1563695909,Possible Light Rain and Humid,rain,0,0.03,0.33,rain,84.01,93.81,76.98,0.79,1005.17,10.78,13.88,150,1,4
,,,,,,,,,,,,,,,,,,,,,
Burundi,Bujumbura,-3.366666667,29.35,Africa/Bujumbura,1563695911,Partly Cloudy,partly-cloudy-day,0,0.001,0.03,rain,76.04,76.04,59.16,0.56,1014.83,3.07,6.23,249,0.36,6
,,,,,,,,,,,,,,,,,,,,,
Cambodia,Phnom Penh,11.55,104.916667,Asia/Phnom_Penh,1563695914,Partly Cloudy,partly-cloudy-day,0,0.027,0.19,rain,93.74,101.65,71.67,0.49,1006.11,4.52,9.79,277,0.44,5
,,,,,,,,,,,,,,,,,,,,,
Cameroon,Yaounde,3.866666667,11.516667,Africa/Douala,1563695924,Mostly Cloudy,partly-cloudy-day,0,0.001,0.07,rain,71.45,72.76,69.97,0.95,1015.42,5.38,9.68,236,0.73,3
,,,,,,,,,,,,,,,,,,,,,
Canada,Ottawa,45.41666667,-75.7,America/Toronto,1563695930,Overcast,cloudy,5,97,0,0,74.26,75.13,67.58,0.8,1004.48,5.64,17.59,319,0.91,0
,,,,,,,,,,,,,,,,,,,,,
Cape Verde,Praia,14.91666667,-23.516667,Atlantic/Cape_Verde,1563695932,Mostly Cloudy,partly-cloudy-day,0,0.001,0.02,rain,75,75.87,67.73,0.78,1013.91,9.35,9.35,14,0.74,0
,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,George Town,19.3,-81.383333,America/Cayman,1563695934,Humid and Mostly Cloudy,partly-cloudy-night,0,0.042,0.19,rain,82.41,90.8,76.9,0.83,1013.02,15.36,18.43,86,0.81,0
,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Bangui,4.366666667,18.583333,Africa/Bangui,1563695937,Humid,clear-day,0,0.002,0.04,rain,78.37,79.73,72.2,0.81,1013.88,7.28,7.28,249,0.07,6
,,,,,,,,,,,,,,,,,,,,,
Chad,N'Djamena,12.1,15.033333,Africa/Ndjamena,1563695939,Possible Light Rain,rain,0,0.048,0.32,rain,74.38,75.56,69.9,0.86,1012.88,2.43,11.36,339,0.19,5
,,,,,,,,,,,,,,,,,,,,,
Chile,Santiago,-33.45,-70.666667,America/Santiago,1563695941,Overcast,cloudy,0,0.004,0.17,rain,47.07,43.12,38.79,0.73,1012.93,8.18,8.18,136,1,0
,,,,,,,,,,,,,,,,,,,,,
China,Beijing,39.91666667,116.383333,Asia/Shanghai,1563695943,Humid and Mostly Cloudy,partly-cloudy-day,0,0,102.36,113.56,72.47,0.39,1000.41,12.54,12.54,182,0.52,3,6.216,303.1
,,,,,,,,,,,,,,,,,,,,,
Christmas Island,The Settlement,-10.41666667,105.716667,Indian/Christmas,1563695950,Overcast,cloudy,0,0.001,0.04,rain,79.16,82.31,71.61,0.78,1010.26,16.83,22.09,112,1,3
,,,,,,,,,,,,,,,,,,,,,
Cocos Islands,West Island,-12.16666667,96.833333,Indian/Cocos,1563695952,Humid and Mostly Cloudy,partly-cloudy-day,0,0.002,0.1,rain,81.5,86.86,73.44,0.77,1011.3,14.66,28.5,114,0.54,4
,,,,,,,,,,,,,,,,,,,,,
Colombia,Bogota,4.6,-74.083333,America/Bogota,1563695953,Foggy,fog,0,0.017,0.2,rain,50.54,50.54,48.06,0.91,1016.84,7.94,8.64,65,0.76,0
,,,,,,,,,,,,,,,,,,,,,
Comoros,Moroni,-11.7,43.233333,Indian/Comoro,1563695956,Partly Cloudy,partly-cloudy-day,0,0,80.41,82.53,66.1,0.62,1016.86,8.59,10.81,235,0.18,7,6.216,253.3
,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,Kinshasa,-4.316666667,15.3,Africa/Kinshasa,1563695962,Mostly Cloudy,partly-cloudy-day,0,0,71.96,72.7,66.07,0.82,1016.09,3.19,8,194,0.55,3,2.488,269.7
,,,,,,,,,,,,,,,,,,,,,
Republic of Congo,Brazzaville,-4.25,15.283333,Africa/Brazzaville,1563695964,Mostly Cloudy,partly-cloudy-day,0,0,71.85,72.61,66.26,0.83,1016.08,3.51,8.06,193,0.58,3,2.488,269.8
,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Avarua,-21.2,-159.766667,Pacific/Rarotonga,1563695974,Partly Cloudy,partly-cloudy-night,0,0,69.47,69.68,61.52,0.76,1013.26,7.83,9.77,79,0.43,0,6.216,259.1
,,,,,,,,,,,,,,,,,,,,,
Costa Rica,San Jose,9.933333333,-84.083333,America/Costa_Rica,1563695979,Foggy,fog,0,0.009,0.09,rain,71.3,71.93,65.13,0.81,1011.41,14.5,14.5,113,0.19,0
,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Yamoussoukro,6.816666667,-5.266667,Africa/Abidjan,1563695991,Overcast,cloudy,0,0.001,0.08,rain,74.13,75.57,71.71,0.92,1014.56,6.15,10.26,227,0.99,1
,,,,,,,,,,,,,,,,,,,,,
Croatia,Zagreb,45.8,16,Europe/Zagreb,1563696000,Mostly Cloudy,partly-cloudy-day,0,0,80.43,81.24,60.35,0.5,1018.36,7.89,10.58,252,0.74,3,6.216,319.9
,,,,,,,,,,,,,,,,,,,,,
